date,source,metric,value

2026-07-13,github,repo_count_vibe-coding,4861
2026-07-13,github,repo_count_github-copilot,2213
2026-07-13,github,repo_count_claude-code,46364
2026-07-13,github,repo_count_codex,15374
2026-07-13,github,repo_count_cursor-ide,371
2026-07-13,hackernews,weekly_stories_vibe_coding,17
2026-07-13,hackernews,weekly_comments_vibe_coding,145
2026-07-13,hackernews,weekly_stories_github_copilot,6
2026-07-13,hackernews,weekly_comments_github_copilot,24
2026-07-13,hackernews,weekly_stories_claude_code,126
2026-07-13,hackernews,weekly_comments_claude_code,817
2026-07-13,hackernews,weekly_stories_chatgpt_codex,13
2026-07-13,hackernews,weekly_comments_chatgpt_codex,125
2026-07-13,hackernews,weekly_stories_cursor_ai,10
2026-07-13,hackernews,weekly_comments_cursor_ai,33
